# Time: 2022-04-21T13:39:54-07:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S07246
# Firmware: 787
# Software: 1.8.5.1
# Sensitivity: 1
# Gain: 450
# Scan Range [ps]: 150.0
# Filter ACF: 0
# Average: 16
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 25.368
# Fit Type: None
# Fit Pulse Duration [ps]: 0.000
# FWHM Valid: 0
# ==========
# Delay [ps]	Intensity [arb.u.]
# ==========
-75.000000	0.008492
-74.924962	0.008577
-74.849925	0.008454
-74.774887	0.008569
-74.699850	0.008780
-74.624812	0.008506
-74.549775	0.008720
-74.474737	0.008531
-74.399700	0.008550
-74.324662	0.008830
-74.249625	0.008677
-74.174587	0.008184
-74.099550	0.008456
-74.024512	0.008589
-73.949475	0.008747
-73.874437	0.008760
-73.799400	0.008839
-73.724362	0.008843
-73.649325	0.008756
-73.574287	0.008645
-73.499250	0.008724
-73.424212	0.008631
-73.349175	0.008346
-73.274137	0.008180
-73.199100	0.008743
-73.124062	0.008394
-73.049025	0.008537
-72.973987	0.008689
-72.898949	0.008839
-72.823912	0.008467
-72.748874	0.008616
-72.673837	0.008502
-72.598799	0.008737
-72.523762	0.008712
-72.448724	0.008940
-72.373687	0.008905
-72.298649	0.008895
-72.223612	0.008465
-72.148574	0.008679
-72.073537	0.008685
-71.998499	0.008419
-71.923462	0.008776
-71.848424	0.008745
-71.773387	0.008548
-71.698349	0.008689
-71.623312	0.008620
-71.548274	0.008726
-71.473237	0.008880
-71.398199	0.008803
-71.323162	0.008616
-71.248124	0.008548
-71.173087	0.008560
-71.098049	0.008920
-71.023012	0.008751
-70.947974	0.008469
-70.872936	0.009063
-70.797899	0.008922
-70.722861	0.009017
-70.647824	0.008672
-70.572786	0.008918
-70.497749	0.008857
-70.422711	0.009142
-70.347674	0.009107
-70.272636	0.008878
-70.197599	0.008974
-70.122561	0.009265
-70.047524	0.009069
-69.972486	0.008928
-69.897449	0.008791
-69.822411	0.009036
-69.747374	0.009344
-69.672336	0.009271
-69.597299	0.009213
-69.522261	0.008988
-69.447224	0.009127
-69.372186	0.009096
-69.297149	0.008870
-69.222111	0.009042
-69.147074	0.008697
-69.072036	0.009098
-68.996998	0.009194
-68.921961	0.009069
-68.846923	0.009179
-68.771886	0.009435
-68.696848	0.009493
-68.621811	0.009528
-68.546773	0.009317
-68.471736	0.009447
-68.396698	0.009489
-68.321661	0.009562
-68.246623	0.009715
-68.171586	0.009792
-68.096548	0.009476
-68.021511	0.009609
-67.946473	0.010231
-67.871436	0.009873
-67.796398	0.010465
-67.721361	0.009632
-67.646323	0.010351
-67.571286	0.009934
-67.496248	0.010077
-67.421211	0.010810
-67.346173	0.010308
-67.271136	0.010544
-67.196098	0.010208
-67.121061	0.010540
-67.046023	0.010357
-66.970985	0.010202
-66.895948	0.010652
-66.820910	0.010490
-66.745873	0.010224
-66.670835	0.010711
-66.595798	0.011484
-66.520760	0.011180
-66.445723	0.011124
-66.370685	0.011583
-66.295648	0.011723
-66.220610	0.011801
-66.145573	0.011671
-66.070535	0.011779
-65.995498	0.012167
-65.920460	0.012564
-65.845423	0.012446
-65.770385	0.012514
-65.695348	0.013341
-65.620310	0.012867
-65.545273	0.012988
-65.470235	0.013092
-65.395198	0.013243
-65.320160	0.013341
-65.245123	0.013505
-65.170085	0.013983
-65.095048	0.014467
-65.020010	0.015172
-64.944972	0.015043
-64.869935	0.015413
-64.794897	0.015365
-64.719860	0.016156
-64.644822	0.017654
-64.569785	0.017484
-64.494747	0.017584
-64.419710	0.018880
-64.344672	0.019179
-64.269635	0.018843
-64.194597	0.019204
-64.119560	0.020549
-64.044522	0.021629
-63.969485	0.021274
-63.894447	0.022849
-63.819410	0.022398
-63.744372	0.023632
-63.669335	0.023200
-63.594297	0.024405
-63.519260	0.023246
-63.444222	0.024519
-63.369185	0.024110
-63.294147	0.025178
-63.219110	0.024796
-63.144072	0.023958
-63.069035	0.024199
-62.993997	0.023426
-62.918959	0.024043
-62.843922	0.024405
-62.768884	0.023300
-62.693847	0.022774
-62.618809	0.023038
-62.543772	0.023044
-62.468734	0.021924
-62.393697	0.022718
-62.318659	0.022853
-62.243622	0.021519
-62.168584	0.021467
-62.093547	0.021211
-62.018509	0.020630
-61.943472	0.020692
-61.868434	0.020677
-61.793397	0.020948
-61.718359	0.020632
-61.643322	0.020640
-61.568284	0.019672
-61.493247	0.019707
-61.418209	0.019668
-61.343172	0.020011
-61.268134	0.019030
-61.193097	0.018660
-61.118059	0.018621
-61.043022	0.019142
-60.967984	0.019447
-60.892946	0.018554
-60.817909	0.019688
-60.742871	0.019526
-60.667834	0.019562
-60.592796	0.019256
-60.517759	0.018889
-60.442721	0.018814
-60.367684	0.019221
-60.292646	0.018986
-60.217609	0.018810
-60.142571	0.019223
-60.067534	0.018704
-59.992496	0.019379
